
\\ Begins the configuration of the alarm system, 04.06.2014 04:54:19

04.06.2014 04:54:19.891 - The LTM data was read from the file "C:\Program Files\Siemens\WinCC\bin\LTMDatenENU.csv"
04.06.2014 04:54:19.901 - The message numbered 1000000 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000001 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000002 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000003 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000004 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000005 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000006 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000100 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000200 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000201 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000202 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000203 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000204 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000205 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000206 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000207 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000208 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000209 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000210 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000211 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000300 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000800 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000801 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000802 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000803 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000804 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000805 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000806 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000807 will be read from the file
04.06.2014 04:54:19.901 - The message numbered 1000900 will be read from the file
04.06.2014 04:54:19.911 - The message numbered 1000901 will be read from the file
04.06.2014 04:54:19.911 - The message numbered 1000902 will be read from the file
04.06.2014 04:54:19.911 - The message numbered 1000903 will be read from the file
04.06.2014 04:54:19.911 - The message numbered 1000904 will be read from the file
04.06.2014 04:54:19.911 - The message numbered 1000905 will be read from the file
04.06.2014 04:54:19.911 - The message numbered 1000906 will be read from the file
